data;p1;p2;televisao;instagram;facebook;whats;radio;p3;dependente;p4;p5;p6;p7;p8;p9;p10;p11;p12;resultado
20;3;1;0;0;0;0;0;1;1;3;1;3;2;0;1;1;0;1;1
20;3;1;0;0;0;0;0;2;2;2;1;2;2;0;3;0;0;3;2
20;3;1;0;0;0;0;0;1;1;2;1;2;2;0;3;0;0;1;1
20;3;2;0;0;0;0;0;1;1;5;2;5;2;0;3;1;0;1;1
20;3;1;0;0;0;0;0;2;2;3;1;2;0;0;3;0;0;3;2
20;3;1;0;0;0;0;0;2;2;3;1;2;2;0;3;0;0;3;2
20;1;1;0;0;0;0;0;2;2;2;1;3;2;0;2;0;1;3;2
20;1;1;0;0;0;0;0;2;2;2;1;1;2;0;2;0;1;3;2
20;1;1;0;0;0;0;0;1;1;3;2;5;2;0;1;1;0;1;1
20;3;1;0;0;0;0;0;2;2;2;1;2;2;0;2;0;1;3;2
20;1;1;0;0;0;0;0;0;2;2;1;1;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;1;1;3;2;1;1;1;3;0;0;1;1
20;3;1;0;0;0;0;0;1;1;4;2;5;1;1;1;1;0;1;1
20;3;2;0;0;0;0;0;2;2;3;1;3;2;0;3;0;0;3;2
20;3;1;0;0;0;0;0;1;1;1;1;1;2;0;1;1;0;1;1
20;3;2;0;0;0;0;0;1;1;5;3;7;2;0;1;1;0;1;1
20;3;1;0;0;0;0;0;1;1;3;2;5;2;0;3;0;0;1;1
20;3;1;0;0;0;0;0;2;2;2;1;2;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;0;2;1;1;1;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;2;2;2;1;1;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;0;1;3;1;3;2;0;3;0;0;1;1
20;3;1;0;0;0;0;0;0;1;5;2;4;2;0;4;0;0;1;1
20;3;1;0;0;0;0;0;1;1;3;2;3;2;0;1;1;0;1;1
20;3;2;0;0;0;0;0;0;2;3;1;2;1;3;3;0;0;3;2
20;3;1;0;0;0;0;0;0;1;3;2;5;1;1;3;0;0;1;1
20;3;1;0;0;0;0;0;1;1;2;1;1;2;0;1;1;0;1;1
20;3;1;0;0;0;0;0;0;1;5;2;6;1;1;1;1;0;1;1
20;3;2;0;0;0;0;0;1;1;3;1;2;2;0;3;0;0;2;1
20;3;1;0;0;0;0;0;0;2;5;1;1;1;3;3;0;0;3;2
20;3;1;0;0;0;0;0;0;2;2;1;1;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;2;2;3;4;8;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;0;1;3;2;5;2;0;1;1;0;1;1
20;2;2;0;0;0;0;0;1;1;3;1;5;0;0;3;0;0;1;1
20;2;1;0;0;1;0;0;2;2;1;1;1;2;0;2;0;1;3;2
20;2;1;0;1;1;0;0;2;2;1;1;1;2;0;2;0;1;3;2
20;2;1;0;0;1;0;0;1;1;5;3;7;2;0;1;1;0;1;1
20;2;1;0;0;0;0;0;2;2;1;1;1;1;3;2;0;1;3;2
20;2;2;0;0;0;0;0;2;2;3;1;1;0;0;3;0;0;0;2
20;2;1;0;0;0;0;0;2;2;2;1;1;2;0;2;0;1;3;2
20;1;1;0;0;0;0;0;1;1;5;2;5;1;1;1;1;0;1;1
20;1;4;0;0;0;0;0;2;2;2;1;1;2;0;2;0;1;0;2
20;1;1;0;0;0;0;0;2;2;2;1;1;2;0;2;0;1;3;2
20;1;1;0;0;0;0;0;1;1;5;2;5;1;1;1;1;0;1;1
20;1;1;0;0;0;0;0;1;1;5;1;5;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;2;2;1;1;1;1;3;3;0;0;3;2
20;3;1;0;0;0;0;0;2;2;2;1;1;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;0;1;3;2;3;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;0;1;4;2;5;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;0;2;2;1;1;2;0;4;0;0;3;2
20;3;1;0;0;0;0;0;0;2;3;1;1;2;0;3;0;0;3;2
20;3;1;0;0;0;0;0;0;1;3;2;1;1;2;1;1;0;2;1
20;3;2;0;0;0;0;0;0;1;4;2;5;0;0;3;0;0;2;1
20;3;1;0;0;0;0;0;0;1;5;2;5;1;1;1;1;0;1;1
20;3;2;0;0;0;0;0;0;2;1;1;1;1;2;3;0;0;3;2
20;3;1;0;0;0;0;0;0;1;3;1;7;1;1;3;0;0;1;1
20;3;1;0;0;0;0;0;0;2;2;1;1;2;0;3;0;0;3;2
20;3;1;0;0;0;0;0;0;2;3;1;3;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;0;2;2;1;3;2;0;3;0;0;3;2
20;3;1;0;0;0;0;0;0;2;3;1;3;2;0;3;0;0;3;2
20;3;1;0;0;0;0;0;1;1;3;2;5;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;0;2;3;1;1;2;0;3;0;0;3;2
20;3;2;0;0;0;0;0;0;1;4;2;4;2;0;3;0;0;2;1
20;3;1;0;0;0;0;0;1;1;5;2;5;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;2;2;3;1;2;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;1;1;3;2;4;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;1;1;4;2;5;1;1;3;0;0;1;1
20;3;1;0;0;0;0;0;0;2;3;2;4;0;0;3;0;0;3;2
20;3;1;0;0;0;0;0;1;1;3;3;3;1;1;3;0;0;1;1
20;3;1;0;0;0;0;0;1;1;3;2;4;1;1;1;1;0;1;1
20;3;2;0;0;0;0;0;0;1;3;1;7;2;0;3;0;0;2;1
20;3;1;0;0;0;0;0;2;2;2;1;2;2;0;1;2;0;3;2
20;3;1;0;0;1;0;0;0;2;3;2;3;2;0;2;0;1;1;2
20;3;1;0;0;0;0;0;1;1;1;2;1;1;1;2;0;2;1;1
20;3;1;0;0;0;0;0;2;2;3;1;3;0;0;2;0;1;2;2
20;3;1;0;0;0;0;0;2;2;2;1;1;2;0;2;0;1;3;2
20;2;1;0;0;0;0;0;0;2;3;1;1;2;0;3;0;0;0;2
20;3;1;0;1;1;0;0;2;2;1;1;1;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;1;1;3;1;1;1;1;1;1;0;1;1
20;3;1;0;0;1;0;0;1;1;5;2;4;1;1;3;0;0;1;1
20;3;1;0;0;0;0;0;1;1;3;2;5;1;1;1;1;0;1;1
20;3;1;1;1;1;0;0;2;2;2;1;2;1;3;2;0;1;3;2
20;2;1;0;0;0;0;0;0;1;5;2;5;1;2;3;0;0;2;1
20;2;1;0;0;0;0;0;0;1;5;3;7;2;0;1;3;0;2;1
20;2;1;0;0;0;0;0;2;2;1;1;3;2;0;4;0;0;3;2
20;2;1;0;0;0;0;0;1;1;3;1;2;2;0;1;1;0;1;1
20;2;1;0;0;0;0;0;2;2;3;1;2;2;0;2;0;1;3;2
20;2;1;1;1;1;0;0;2;2;2;1;2;1;3;2;0;1;3;2
20;2;1;0;0;0;0;0;2;2;1;1;1;1;3;2;0;1;3;2
20;2;1;1;1;1;0;0;2;2;5;3;2;1;3;3;0;1;3;2
20;2;1;0;0;0;0;0;0;1;3;2;3;0;0;3;0;0;3;1
20;2;1;0;0;0;0;0;1;1;1;1;2;1;1;1;1;0;1;1
20;2;2;1;1;1;0;0;2;2;2;1;2;1;1;2;0;1;3;2
20;2;1;0;0;0;0;0;2;2;3;1;2;1;3;2;0;1;3;2
20;2;1;0;0;0;0;0;1;1;3;2;5;1;1;1;1;0;1;1
20;2;3;0;0;0;0;0;2;2;3;3;3;2;0;4;0;0;2;2
20;2;1;0;0;0;0;0;1;1;3;3;3;1;1;1;1;0;1;1
20;2;1;0;0;0;0;0;2;2;3;1;1;1;3;2;0;1;3;2
20;2;1;0;0;0;0;0;1;1;5;3;3;2;0;4;0;0;1;1
20;2;2;0;0;0;0;0;0;2;3;1;2;2;0;2;0;1;3;2
20;2;1;0;0;0;0;0;0;2;5;3;7;2;0;2;0;1;3;2
20;2;1;0;0;0;0;0;1;1;5;2;5;1;1;1;1;0;1;1
20;2;2;0;0;0;0;0;0;2;5;3;7;1;0;2;0;1;1;2
20;2;2;0;0;0;0;0;1;1;3;3;3;0;0;4;0;0;1;1
20;2;1;0;0;0;0;0;2;2;1;1;1;2;0;2;0;1;3;2
20;2;1;0;0;0;0;0;1;1;3;2;1;1;1;1;1;0;1;1
20;2;2;0;0;0;0;0;2;2;3;1;1;0;0;2;0;1;3;2
20;2;1;0;0;0;0;0;2;2;2;1;3;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;0;1;5;2;5;1;1;3;0;0;1;1
20;3;1;0;0;0;0;0;0;2;3;1;2;1;1;1;2;0;1;2
20;3;1;0;0;0;0;0;0;2;1;1;1;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;1;1;5;2;5;1;1;1;1;0;1;1
20;3;2;0;0;0;0;0;0;1;5;4;8;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;2;2;2;1;2;0;0;2;0;1;3;2
20;3;2;0;0;0;0;0;0;2;3;4;1;1;2;2;0;3;2;2
20;3;1;0;0;0;0;0;2;2;3;1;1;2;0;2;0;1;3;2
20;3;3;0;0;0;0;0;0;2;2;1;1;0;0;2;0;1;3;2
20;3;1;0;0;0;0;0;0;1;4;2;5;1;1;3;0;0;1;1
20;3;1;0;0;0;0;0;0;1;5;2;4;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;1;1;5;2;2;2;0;1;1;0;1;1
20;3;1;0;0;0;0;0;2;2;2;1;3;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;2;2;1;1;2;1;2;3;0;0;2;2
20;3;1;0;0;0;0;0;2;2;3;1;2;0;0;2;0;1;1;2
20;3;1;0;0;0;0;0;2;2;1;1;1;2;0;2;0;1;1;2
20;3;1;1;1;1;0;0;2;2;2;1;1;1;3;2;0;1;3;2
20;3;1;0;0;0;0;0;1;1;2;2;5;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;2;2;2;1;3;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;1;1;5;2;5;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;1;1;4;2;4;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;2;2;3;3;3;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;1;1;3;2;4;2;0;1;1;0;1;1
20;3;1;0;0;0;0;0;2;2;3;1;3;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;0;1;5;3;6;2;0;3;0;0;2;1
20;3;2;0;0;0;0;0;1;1;4;2;5;2;0;1;1;0;1;1
20;3;1;0;0;0;0;0;2;2;2;1;1;2;0;2;0;1;3;2
20;3;2;0;0;0;0;0;1;1;3;3;3;1;1;1;1;0;1;1
20;3;2;0;0;0;0;0;1;1;3;2;4;1;1;1;1;0;1;1
20;3;2;0;0;0;0;0;1;1;2;1;2;1;1;3;0;0;1;1
20;3;1;1;1;0;0;0;2;2;2;1;3;2;0;2;0;1;3;2
20;3;2;0;0;0;0;0;2;2;2;1;3;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;1;2;2;1;3;1;3;3;0;0;0;2
20;3;1;0;0;0;0;0;1;1;2;1;3;1;1;3;0;0;1;1
20;3;1;0;0;0;0;0;1;1;3;1;3;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;1;1;3;3;3;0;0;1;2;0;1;1
20;3;1;0;0;0;0;0;2;2;3;1;2;1;1;2;0;1;1;2
20;3;1;0;0;0;0;0;2;2;2;1;1;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;0;1;3;1;8;0;0;2;0;2;0;1
20;3;1;0;0;0;0;0;0;2;1;1;8;2;0;2;0;1;0;2
20;3;1;0;0;0;0;0;0;1;5;2;8;1;1;3;0;0;1;1
20;3;1;0;0;0;0;0;0;2;1;1;8;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;0;1;3;1;8;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;0;2;2;1;8;0;0;2;0;1;0;2
20;2;2;0;0;0;0;0;2;2;1;1;3;2;0;1;2;1;2;2
20;2;1;0;0;0;0;0;2;2;2;1;1;1;3;2;0;1;3;2
20;2;1;0;0;0;0;0;1;1;2;1;2;1;1;1;1;0;1;1
20;2;2;1;1;1;0;0;2;2;1;1;1;1;3;3;0;1;3;2
20;2;1;0;0;0;0;0;0;1;4;2;2;2;0;1;1;0;1;1
20;2;1;0;0;0;0;0;2;2;2;1;1;2;0;2;0;1;3;2
20;2;1;0;0;0;0;0;2;2;3;1;1;1;3;2;0;1;3;2
20;2;1;0;0;0;0;0;2;2;2;1;1;2;0;2;0;1;3;2
20;1;1;0;0;0;0;0;2;2;3;1;1;2;0;2;0;1;3;2
20;1;1;0;0;0;0;0;1;1;2;1;7;2;0;1;1;0;1;1
20;2;1;0;0;0;0;0;2;2;3;1;1;2;0;2;0;1;0;2
20;3;1;0;0;0;0;0;0;1;7;3;4;2;0;1;1;0;0;1
20;3;1;1;1;1;0;0;2;2;3;1;2;1;3;2;0;1;3;2
20;3;3;0;0;0;0;0;1;1;3;2;3;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;1;1;3;2;3;2;0;4;0;0;1;1
20;3;1;1;1;1;0;0;1;1;5;2;4;1;1;3;0;0;1;1
20;3;1;0;0;0;0;0;0;2;2;1;1;0;0;2;0;1;3;2
20;3;1;0;0;0;0;0;0;1;1;1;3;2;0;2;0;1;3;1
20;3;1;0;0;0;0;0;0;2;2;1;1;2;0;2;0;1;3;2
20;3;2;0;0;0;0;0;1;1;3;2;2;1;1;4;0;0;1;1
20;3;1;0;0;0;0;0;2;2;3;1;1;1;1;3;0;0;1;2
20;3;1;0;0;0;0;0;2;2;3;3;3;2;0;3;0;0;3;2
20;3;1;0;0;0;0;0;2;2;2;1;2;2;0;2;0;1;3;2
20;3;1;1;1;1;0;0;2;2;2;1;3;1;3;4;0;0;3;2
20;3;1;0;0;0;0;0;2;2;2;1;3;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;1;1;3;1;3;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;1;1;3;2;3;1;1;3;0;0;1;1
20;3;1;0;0;0;0;0;1;1;3;1;3;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;1;1;3;2;3;1;1;3;0;0;1;1
20;3;1;0;0;0;0;0;1;1;5;2;3;1;1;3;0;0;1;1
20;3;1;0;0;0;0;0;1;1;4;2;3;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;1;1;5;2;5;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;2;2;2;1;2;1;3;2;0;1;3;2
20;3;1;0;0;0;0;0;1;1;3;2;4;2;0;1;1;0;1;1
20;3;2;0;0;0;0;0;1;1;4;2;3;1;2;1;1;0;1;1
20;3;1;0;0;0;0;0;2;2;2;1;2;2;0;3;0;0;3;2
20;3;1;0;0;0;0;0;1;1;3;3;3;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;2;2;3;2;2;2;0;2;0;1;3;2
20;3;1;1;1;1;0;0;1;1;2;3;1;2;0;1;1;0;1;1
20;3;1;0;0;0;0;0;2;2;2;1;1;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;2;2;2;1;1;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;1;1;3;2;5;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;1;1;3;1;2;1;1;1;1;0;1;1
20;3;2;0;0;0;0;0;2;2;3;1;2;1;3;2;0;1;3;2
20;3;1;0;0;0;0;0;2;2;3;1;3;2;0;2;0;1;3;2
20;3;1;1;1;1;0;0;1;1;3;2;5;1;1;4;0;0;1;1
20;3;2;0;0;0;0;0;1;1;3;2;3;2;0;3;0;0;1;1
20;3;1;0;0;0;0;0;1;1;5;2;5;1;1;3;0;0;1;1
20;3;1;0;0;0;0;0;2;2;2;1;2;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;1;1;3;2;2;1;1;1;1;0;1;1
20;3;1;0;0;0;0;0;1;1;4;2;5;2;0;1;1;0;1;1
20;3;1;0;0;0;0;0;2;2;2;1;2;1;3;2;0;1;3;2
20;3;1;0;0;0;0;0;2;2;3;3;2;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;1;1;3;2;6;2;0;1;1;0;2;1
20;3;1;0;0;0;0;0;1;1;3;2;5;1;1;1;1;0;1;1
20;1;2;0;0;0;0;0;0;2;3;3;5;2;0;3;0;0;3;2
20;1;1;0;0;0;0;0;0;2;2;1;8;2;0;2;0;1;0;2
20;1;1;0;0;0;0;0;0;1;3;1;8;1;3;3;0;0;1;1
20;1;1;0;0;0;0;0;2;2;3;1;2;2;0;4;0;0;3;2
20;1;1;0;0;0;0;0;0;2;2;1;1;2;0;2;0;1;3;2
20;3;1;0;0;0;0;0;1;1;3;1;4;0;0;3;0;0;1;1
20;1;1;0;0;0;0;0;1;1;3;1;3;2;0;1;1;0;1;1
20;1;1;0;0;0;0;0;2;2;3;2;3;1;2;1;2;0;2;2
20;1;1;0;0;0;0;0;2;2;1;1;1;2;0;2;0;1;3;2
20;1;2;0;0;0;0;0;2;1;3;1;2;1;1;3;0;0;1;1
20;1;1;0;0;0;0;0;2;2;2;1;1;1;3;2;0;1;3;2
20;1;1;0;0;0;0;0;2;2;3;1;6;2;0;2;0;1;3;2
20;1;2;0;0;0;0;0;0;2;3;1;3;2;0;2;0;3;3;2
20;1;1;0;0;0;0;0;0;2;3;1;3;2;0;2;0;1;3;2
20;1;1;0;0;0;0;0;2;2;2;1;3;2;0;2;0;1;3;2
20;1;1;0;0;0;0;0;1;1;3;1;3;2;0;3;0;0;1;1
20;1;1;0;0;0;0;0;2;2;3;1;1;2;0;2;0;1;3;2
20;1;2;0;0;0;0;0;2;2;2;1;2;2;0;2;0;3;3;2
20;1;1;1;1;0;0;0;1;1;3;1;2;2;0;1;1;0;1;1
20;1;1;0;0;0;0;0;2;2;2;1;1;2;0;2;0;1;3;2
20;2;1;0;1;1;0;0;2;2;2;1;1;2;0;2;0;1;3;2
20;2;1;0;0;0;0;0;2;2;3;1;3;2;0;2;0;1;3;2
20;2;1;0;0;0;0;0;1;1;2;1;1;1;1;1;1;0;1;1
20;2;1;1;1;1;0;0;1;1;2;1;1;2;0;1;1;0;1;1
20;2;1;1;1;1;0;0;2;2;3;1;3;1;3;2;0;1;3;2
20;2;1;0;0;0;0;0;1;1;5;2;5;2;0;3;0;0;2;1
20;2;1;0;0;0;0;0;2;2;3;1;3;2;0;2;0;1;3;2
20;2;1;0;0;0;0;0;2;2;1;1;1;2;0;2;0;1;3;2
20;2;1;0;0;0;0;0;2;2;3;4;3;2;0;2;0;1;3;2
20;2;1;0;0;0;0;0;1;1;3;2;3;0;0;3;0;0;1;1
20;2;1;0;0;0;0;0;1;1;5;2;5;2;0;1;1;0;1;1
20;2;2;0;0;0;0;0;0;2;3;1;3;0;0;4;0;0;3;2
20;2;1;0;0;0;0;0;2;2;1;1;1;2;0;2;0;1;3;2
20;2;1;0;0;0;0;0;2;2;3;1;3;1;3;1;2;0;3;2
20;3;1;0;0;0;0;0;1;1;3;2;4;1;1;4;0;0;1;1
20;2;2;0;0;0;0;0;0;2;3;1;2;0;0;4;0;0;0;2
22;1;1;0;0;0;0;0;0;2;2;1;1;2;0;2;0;1;3;2
22;1;1;0;0;0;0;0;0;1;3;2;4;1;1;1;1;0;1;1
22;1;1;0;0;0;0;0;2;2;3;1;2;1;3;2;0;1;3;2
22;3;1;0;0;0;0;0;2;2;2;1;3;2;0;2;0;1;3;2
22;3;1;0;0;0;0;0;2;2;2;1;3;2;0;2;0;1;3;2
22;3;1;0;0;0;0;0;2;2;3;1;2;1;3;2;0;1;3;2
22;3;2;0;0;0;0;0;1;1;1;1;1;1;1;4;0;0;1;1
22;3;1;0;0;0;0;0;1;1;4;2;5;1;1;3;0;0;1;1
22;1;1;0;0;0;0;0;2;2;2;1;1;0;0;2;0;1;3;2
22;3;1;0;0;0;0;0;2;2;1;1;2;1;3;2;0;1;3;2
22;3;1;0;0;0;0;0;2;2;3;1;3;1;3;2;0;1;3;2
22;1;1;0;0;0;0;0;2;2;3;1;1;0;0;2;0;1;3;2
22;1;1;0;0;0;0;0;2;2;2;1;1;1;3;2;0;1;3;2
22;3;1;0;0;0;0;0;0;2;2;1;3;2;0;2;0;1;3;2
22;3;1;0;0;0;0;0;2;2;2;1;1;2;0;2;0;1;3;2
22;2;3;0;0;0;0;0;0;2;5;3;7;2;0;5;0;0;0;2
22;2;1;0;0;0;0;0;0;1;5;2;5;1;1;4;0;0;1;1
22;2;2;0;0;0;0;0;2;2;3;2;3;1;3;2;0;1;3;2
22;2;1;0;0;0;0;0;2;2;3;1;3;2;0;2;0;1;3;2
22;2;3;0;0;0;0;0;0;1;5;3;7;1;1;4;0;0;1;1
22;2;3;0;0;0;0;0;2;2;5;1;3;2;0;2;0;1;3;2
22;2;1;0;0;0;0;0;2;2;1;1;1;2;0;2;0;1;3;2
22;2;2;0;0;0;0;0;1;1;3;3;2;0;0;1;1;0;1;1
22;2;1;0;0;0;0;0;2;2;5;3;7;2;0;4;0;0;3;2
22;2;1;0;0;0;0;0;2;2;1;1;1;1;3;2;0;1;3;2
22;2;2;0;0;0;0;0;2;2;1;3;1;0;0;2;0;1;2;2
22;2;3;0;0;0;0;0;0;1;5;1;2;2;0;1;3;0;2;1
22;2;1;0;0;0;0;0;1;2;1;1;7;1;3;2;0;3;1;2
22;1;1;0;0;0;0;0;2;2;2;1;2;2;0;1;2;0;3;2
22;3;1;0;0;0;0;0;1;1;5;3;5;0;0;4;0;0;2;1
22;3;1;0;0;0;0;0;1;1;3;2;2;1;1;1;1;0;1;1
22;3;1;0;0;0;0;0;1;1;3;2;2;2;0;1;1;0;1;1
22;3;1;0;0;0;0;0;2;2;2;1;2;2;0;2;0;1;3;2
22;3;3;0;0;0;0;0;2;2;2;1;5;2;0;4;0;0;3;2
22;3;1;0;0;0;0;0;2;2;2;1;2;2;0;2;0;1;3;2
22;3;1;0;0;0;0;0;1;1;5;2;2;1;1;1;1;0;1;1
22;3;1;0;0;0;0;0;2;2;2;1;1;2;0;2;0;1;3;2
22;3;2;0;0;0;0;0;2;2;1;1;1;2;0;3;0;0;2;2
